"species.correct","N","dbh.crit","p","p.est","str.match"
"Monteverdia gonoclada",410,15,0.241463414634146,"0.3047","late_secondary_large_tree"
"Monteverdia ilicifolia",9,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Monteverdia obtusifolia",23,NA,NA,"0.5122","unknown_small_tree"
"Mouriri bahiensis",3,NA,NA,"0.3342","unknown_large_tree"
"Mouriri chamissoana",17,20,0.529411764705882,"0.2533","climax_large_tree"
"Mouriri regeliana",9,NA,NA,"0.3342","unknown_large_tree"
"Muellera campestris",1,12.5,1,"0.4498","early_secondary_large_tree"
"Myrceugenia campestris",31,8,0.032258064516129,"0.4927","late_secondary_small_tree"
"Myrceugenia glaucescens",82,15,0.304878048780488,"0.3047","late_secondary_large_tree"
"Myrceugenia kleinii",53,20,0.150943396226415,"0.2533","climax_large_tree"
"Myrceugenia miersiana",2,8,0,"0.4927","late_secondary_small_tree"
"Myrceugenia myrcioides",205,8,0.351219512195122,"0.4927","late_secondary_small_tree"
"Myrceugenia pilotantha",25,7,0.64,"0.5998","early_secondary_small_tree"
"Myrceugenia seriatoramosa",11,7,0.909090909090909,"0.5998","early_secondary_small_tree"
"Myrcia aethusa",74,15,0.0675675675675676,"0.3047","late_secondary_large_tree"
"Myrcia amazonica",149,15,0.0134228187919463,"0.3047","late_secondary_large_tree"
"Myrcia amplexicaulis",2,NA,NA,"0.3342","unknown_large_tree"
"Myrcia anacardiifolia",163,7,0.533742331288344,"0.5998","early_secondary_small_tree"
"Myrcia apiocarpa",8,5,1,"1","unknown_large_shrub"
"Myrcia bergiana",6,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Myrcia bicolor",24,8,0.375,"0.4927","late_secondary_small_tree"
"Myrcia brasiliensis",177,15,0.418079096045198,"0.3047","late_secondary_large_tree"
"Myrcia crocea",4,7,0.25,"0.5998","early_secondary_small_tree"
"Myrcia eugeniopsoides",81,NA,NA,"0.5122","unknown_small_tree"
"Myrcia eximia",3,15,0.666666666666667,"0.3047","late_secondary_large_tree"
"Myrcia ferruginea",2,NA,NA,"0.3342","unknown_large_tree"
"Myrcia ferruginosa",13,NA,NA,"0.3342","unknown_large_tree"
"Myrcia flagellaris",234,15,0.0427350427350427,"0.3047","late_secondary_large_tree"
"Myrcia gigantea",7,15,0,"0.3047","late_secondary_large_tree"
"Myrcia glabra",103,15,0.504854368932039,"0.3047","late_secondary_large_tree"
"Myrcia guianensis",3,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Myrcia hatschbachii",44,12.5,0.431818181818182,"0.4498","early_secondary_large_tree"
"Myrcia hebepetala",50,8,0.34,"0.4927","late_secondary_small_tree"
"Myrcia heringii",1,5,1,"1","late_secondary_large_shrub"
"Myrcia hexasticha",10,NA,NA,"0.5122","unknown_small_tree"
"Myrcia ilheosensis",134,15,0.626865671641791,"0.3047","late_secondary_large_tree"
"Myrcia insigniflora",5,NA,NA,"0.5122","unknown_small_tree"
"Myrcia insularis",3,8,0.666666666666667,"0.4927","late_secondary_small_tree"
"Myrcia isaiana",62,15,0.241935483870968,"0.3047","late_secondary_large_tree"
"Myrcia macrocarpa",34,NA,NA,"0.3342","unknown_large_tree"
"Myrcia multiflora",116,8,0.775862068965517,"0.4927","late_secondary_small_tree"
"Myrcia neoblanchetiana",11,NA,NA,"0.3342","unknown_large_tree"
"Myrcia neoglabra",3,8,0.666666666666667,"0.4927","late_secondary_small_tree"
"Myrcia obversa",21,15,0.0476190476190476,"0.3047","late_secondary_large_tree"
"Myrcia perforata",7,NA,NA,"0.3342","unknown_large_tree"
"Myrcia pubiflora",3,9,0.333333333333333,"0.2868","climax_small_tree"
"Myrcia pubipetala",592,15,0.265202702702703,"0.3047","late_secondary_large_tree"
"Myrcia racemosa",522,15,0.028735632183908,"0.3047","late_secondary_large_tree"
"Myrcia reitzii",39,20,0.41025641025641,"0.2533","climax_large_tree"
"Myrcia spectabilis",244,15,0.0163934426229508,"0.3047","late_secondary_large_tree"
"Myrcia splendens",274,12.5,0.244525547445255,"0.4498","early_secondary_large_tree"
