"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Actinostemon concolor","Actinostemon concolor var. genuinus","Actinostemon concolor",NA,"var.","Müll.Arg.","genuinus"
"Actinostemon concolor","Actinostemon concolor var. grandifolius","Actinostemon concolor",NA,"var.","(Baill.) Müll.Arg.","grandifolius"
"Actinostemon concolor","Actinostemon concolor var. intermedius","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","intermedius"
"Actinostemon concolor","Actinostemon concolor var. longifolius","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","longifolius"
"Actinostemon concolor","Actinostemon concolor var. microphyllus","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","microphyllus"
"Actinostemon concolor","Actinostemon concolor var. mucronatus","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","mucronatus"
"Actinostemon concolor","Actinostemon concolor var. obovatus","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","obovatus"
"Actinostemon concolor","Actinostemon concolor var. platyphyllos","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","platyphyllos"
"Actinostemon concolor","Actinostemon concolor var. riedelii","Actinostemon concolor",NA,"var.","Müll.Arg.","riedelii"
"Actinostemon concolor","Actinostemon concolor var. sellowii","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","sellowii"
"Actinostemon concolor","Actinostemon concolor var. variifolius","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","variifolius"
"Actinostemon concolor","Actinostemon grandifolius","Actinostemon grandifolius","Baill.",NA,NA,NA
"Actinostemon concolor","Actinostemon marginatus","Actinostemon marginatus","Klotzsch ex Baill.",NA,NA,NA
"Actinostemon concolor","Actinostemon multiflorus var. leptostachys","Actinostemon multiflorus",NA,"var.","Chodat","leptostachys"
"Actinostemon concolor","Actinostemon polymorphus","Actinostemon polymorphus","Müll.Arg.",NA,NA,NA
"Actinostemon concolor","Actinostemon polymorphus var. acutissimus","Actinostemon polymorphus",NA,"var.","Müll.Arg.","acutissimus"
"Actinostemon concolor","Actinostemon polymorphus var. angustatus","Actinostemon polymorphus",NA,"var.","Müll.Arg.","angustatus"
