family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Myrtaceae,Myrcia marianae,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia maximiliana,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia micropetala,0,0,0,18,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia mischophylla,36,21,40,20,46.783626,widespread,46.242775,widespread,Not endemic
Myrtaceae,Myrcia mollis,52,5,0,2,3.669725,occasional,3.539823,occasional,Not in the AF
Myrtaceae,Myrcia monoclada,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia montana,1,0,0,98,98.979592,near_endemic,98.989899,near_endemic,Not endemic
Myrtaceae,Myrcia morroqueimadensis,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia multiflora,344,86,58,615,62.377261,widespread,62.463628,widespread,Not endemic
Myrtaceae,Myrcia mutabilis,87,51,25,70,42.447917,widespread,42.307692,widespread,Not endemic
Myrtaceae,Myrcia myrtillifolia,300,14,3,1,0.813008,occasional,0.807754,occasional,Not in the AF
Myrtaceae,Myrcia neoblanchetiana,0,2,1,29,96.491228,near_endemic,96.721311,near_endemic,Endemic
Myrtaceae,Myrcia neocambessedeana,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia neodimorpha,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia neoestrellensis,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia neoglabra,0,0,0,32,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia neorostrata,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia neuwiedeana,0,0,0,126,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia nitida,10,8,16,8,53.333333,widespread,53.333333,widespread,Not endemic
Myrtaceae,Myrcia nobilis,5,4,3,5,48.148148,widespread,48.148148,widespread,Not in the AF
Myrtaceae,Myrcia oblongata,7,3,3,150,94.680851,near_endemic,94.6875,near_endemic,Endemic
Myrtaceae,Myrcia obovata,23,19,8,115,78.114478,widespread,78.547855,widespread,Not endemic
Myrtaceae,Myrcia obversa,0,0,0,42,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia oligantha,0,0,0,52,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia oreioeca,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia ovata,3,0,0,112,97.368421,near_endemic,97.391304,near_endemic,Endemic
Myrtaceae,Myrcia ovina,0,1,0,13,96.296296,near_endemic,96.296296,near_endemic,Endemic
