"taxon_id","language","name"
"sp383","Portuguese","Araribão"
"sp383","Portuguese","Cauassu"
"sp383","Portuguese","Quina-Do-Paraná"
"sp383","Portuguese","Macuqueiro"
"sp384","Portuguese","Guamirim"
"sp384","Portuguese","Guapeba-Branca"
"sp386","Portuguese","Bapebucu"
"sp386","Portuguese","Quina-Do-Mato"
"sp387","Portuguese","Quina-Da-Serra"
"sp387","Portuguese","Pau-De-Colher"
"sp387","Portuguese","Quina-Da-Serra"
"sp387","Portuguese","Autuparana"
"sp387","Portuguese","Folha-Larga"
"sp389","Portuguese","Mororó Branco"
"sp389","Portuguese","Mororó De Espinho"
"sp389","Portuguese","Pata De Vaca"
"sp404","Portuguese","Maniva Do Veado"
"sp414","Portuguese","Mororó Vermelho"
"sp417","Portuguese","Tapinhoã"
"sp421","Portuguese","Canela-Batata"
"sp421","Portuguese","Canela-Tapinha"
"sp426","Portuguese","Espinho-De-São-João"
"sp432","Portuguese","Urucum"
"sp432","Portuguese","Colorau"
"sp440","Portuguese","Assa-Peixe"
"sp440","Portuguese","Lixa Da Folha Larga"
"sp445","Portuguese","Juvú"
"sp445","Portuguese","Três-Marias, Primavera, Buganvilia"
"sp447","Portuguese","Três-Marias, Primavera, Tapirica, Roseira-Do-Mato"
"sp450","Portuguese","Mamoninha"
"sp451","Portuguese","Mamona-Da-Mata"
"sp451","Portuguese","Barba-De-Bode"
"sp452","Portuguese","Urumbeba, Rumbeba, Cumbeba, Mumbeca, Mumbebo, Facho-De-Renda, Palmatória Grande, Palmatória-Do-Diabo, Ambeba, Arumbeva, Gerumbeba, Jurubeba, Palmadora, Palmatória, Xiquexique-Do-Sertão."
"sp455","Portuguese","Marfim Do Campo"
"sp460","Portuguese","Mama-Cadela"
"sp460","Portuguese","Mamica-De-Cadela"
"sp460","Portuguese","Conduru"
"sp460","Portuguese","Inhare"
"sp463","Portuguese","Inharé Mole"
"sp463","Portuguese","Pau-Rainha-Roxo"
"sp464","Portuguese","Inhare"
"sp464","Portuguese","Manite"
"sp464","Portuguese","Manixí"
"sp464","Portuguese","Murure"
"sp464","Portuguese","Leiteira"
"sp464","Portuguese","Muiratinga"
"sp465","Portuguese","Amapá-Doce"
"sp466","Portuguese","Garrote"
"sp466","Portuguese","Pau-Rainha"
"sp476","Portuguese","Tanimbuca"
"sp476","Portuguese","Mirindiba"
"sp476","Portuguese","Cuia-Rana"
"sp476","Portuguese","Xurim"
"sp480","Portuguese","Cinzeiro, Tanibuca, Tanimbuca"
"sp491","Portuguese","Coco-Azedinho"
"sp491","Portuguese","Coco-Cabeçudo"
"sp493","Portuguese","Butiá-Da-Serra"
"sp496","Portuguese","Palmeira-Jataí"
"sp497","Portuguese","Butia-Jataí"
"sp498","Portuguese","Murici D'anta"
"sp502","Portuguese","Acá"
"sp508","Portuguese","Murici"
"sp509","Portuguese","Canjiqueira"
"sp515","Portuguese","Murici Da Mata"
"sp530","Portuguese","Murici Peludo"
"sp566","Portuguese","Alecrim Bravo"
"sp566","Portuguese","Itapiuna"
"sp568","Portuguese","Carvao Branco"
"sp568","Portuguese","Cravo"
"sp568","Portuguese","Jacare"
"sp568","Spanish","Tinto Chico"
"sp571","Portuguese","Jacaré"
"sp571","Portuguese","Pau Terra Do Mato"
"sp572","Portuguese","Vassourinha"
"sp573","Portuguese","Pau De Pilão"
"sp574","Portuguese","Guanandi"
"sp574","Portuguese","Jacareúba"
"sp574","Portuguese","Jacareúba"
"sp574","Portuguese","Landim"
"sp578","Portuguese","Mulateiro"
"sp578","Portuguese","Pau-Mulato"
"sp624","Portuguese","Guabiraba"
"sp624","Portuguese","Guabiraba-Branca"
"sp624","Portuguese","Guabiroba-Roxa"
"sp624","Portuguese","Mangabinha-De-Veado"
"sp624","Portuguese","Murta-Guarabiraba"
"sp627","Portuguese","Acariquara Branca"
"sp635","Portuguese","Guabiroba"
"sp636","Portuguese","Gabiroba Espinhuda"
"sp639","Portuguese","Guabiroba"
"sp641","Portuguese","Guabirobeira"
"sp641","Portuguese","Guabiroba"
"sp648","Portuguese","Gabiroba"
"sp650","Portuguese","Folha-Dura"
"sp650","Portuguese","Feijão-Bravo-Preto"
"sp651","Portuguese","Mate"
"sp656","Portuguese","Pimenta Do Sapo"
"sp661","Portuguese","Bingueiro"
"sp661","Portuguese","Cachimbeiro"
"sp661","Portuguese","Coatingua"
"sp661","Portuguese","Currimboque"
"sp661","Portuguese","Estopa"
"sp661","Portuguese","Estopeira"
"sp661","Portuguese","Jequitibá"
"sp661","Portuguese","Jequitibá-Branco"
"sp661","Portuguese","Jequitibá-Rei"
"sp661","Portuguese","Jequitibá-Rosa"
"sp661","Portuguese","Mussambê"
"sp661","Portuguese","Pau-De-Cachimbo"
"sp661","Portuguese","Pau-Estopa"
"sp662","Portuguese","Jequitibá-Açu"
