"scientificName","UTEndUse.UTEndUseSubfield.UTEndUseName","UTEndUse.UTEndUseSubfield.UTEndUseLookup","UTEndUse.UTEndUseSubfield.international","UTEndUse.UTEndUseSubfield.national","UTEndUse.UTEndUseSubfield.other","UTEndUse.UTEndUseSubfield.subsistence","internal_taxon_id","source.info"
"Butia eriospatha","Food - human","1","false","true","","true","sp465","TreeCo_database_v.4.1"
"Butia paraguayensis","Food - animal","2","","","","true","sp467","IUCN_Red_List_v.2022-2"
"Butia paraguayensis","Pets/display animals, horticulture","13","true","","","","sp467","IUCN_Red_List_v.2022-2"
"Butia purpurascens","Pets/display animals, horticulture","13","false","true","","false","sp468","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Fuels","7","true","false","","false","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Construction or structural materials","9","true","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Construction or structural materials","9","true","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Food - human","1","true","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Food - human","1","false","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Fibre","8","true","false","","false","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Food - human","1","true","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Food - human","1","true","true","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Poisons","4","true","false","","false","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Pets/display animals, horticulture","13","true","false","","false","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Medicine - human & veterinary","3","true","false","","true","sp479","TreeCo_database_v.4.1"
"Byrsonima crassifolia","Other household goods","11","false","true","","true","sp479","IUCN_Red_List_v.2022-2"
"Byrsonima ligustrifolia","Food - human","1","false","false","","false","sp489","IUCN_Red_List_v.2022-2"
"Byrsonima verbascifolia","Food - human","1","false","true","","true","sp510","TreeCo_database_v.4.1"
"Cabralea canjerana","Construction or structural materials","9","false","true","","false","sp512","TreeCo_database_v.4.1"
"Cabralea canjerana","Construction or structural materials","9","true","true","","false","sp512","TreeCo_database_v.4.1"
"Cabralea canjerana","Other household goods","11","","true","","","sp512","IUCN_Red_List_v.2022-2"
"Calliandra brevipes","Pets/display animals, horticulture","13","false","false","","false","sp515","TreeCo_database_v.4.1"
"Calliandra surinamensis","Pets/display animals, horticulture","13","false","false","","false","sp528","TreeCo_database_v.4.1"
"Calliandra tweedii","Pets/display animals, horticulture","13","false","true","","false","sp529","TreeCo_database_v.4.1"
"Calliandra tweedii","Pets/display animals, horticulture","13","false","false","","false","sp529","TreeCo_database_v.4.1"
"Callisthene major","Medicine - human & veterinary","3","false","false","","false","sp542","IUCN_Red_List_v.2022-2"
"Callisthene major","Manufacturing chemicals","5","false","false","","false","sp542","IUCN_Red_List_v.2022-2"
"Callisthene major","Fuels","7","false","false","","false","sp542","IUCN_Red_List_v.2022-2"
"Callisthene major","Construction or structural materials","9","false","false","","false","sp542","IUCN_Red_List_v.2022-2"
"Callisthene minor","Construction or structural materials","9","","","","","sp544","IUCN_Red_List_v.2022-2"
"Callisthene minor","Other household goods","11","","","","","sp544","IUCN_Red_List_v.2022-2"
"Calophyllum brasiliense","Food - animal","2","true","false","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Construction or structural materials","9","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Food - human","1","true","false","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Construction or structural materials","9","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Construction or structural materials","9","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Construction or structural materials","9","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Medicine - human & veterinary","3","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Pets/display animals, horticulture","13","true","true","","false","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Construction or structural materials","9","true","true","","true","sp545","TreeCo_database_v.4.1"
"Calophyllum brasiliense","Other household goods","11","true","true","","true","sp545","IUCN_Red_List_v.2022-2"
"Calycophyllum multiflorum","Construction or structural materials","9","true","false","","false","sp547","TreeCo_database_v.4.1"
"Calycophyllum spruceanum","Construction or structural materials","9","true","false","","false","sp549","TreeCo_database_v.4.1"
"Campomanesia adamantium","Food - human","1","false","true","","true","sp550","TreeCo_database_v.4.1"
"Campomanesia lineatifolia","Food - human","1","","true","","true","sp564","IUCN_Red_List_v.2022-2"
"Campomanesia lineatifolia","Medicine - human & veterinary","3","","","","true","sp564","IUCN_Red_List_v.2022-2"
"Campomanesia xanthocarpa","Food - human","1","false","true","","true","sp578","TreeCo_database_v.4.1"
"Caraipa densifolia","Construction or structural materials","9","false","true","","false","sp588","TreeCo_database_v.4.1"
"Caraipa densifolia","Construction or structural materials","9","false","true","","false","sp588","TreeCo_database_v.4.1"
"Caraipa densifolia","Construction or structural materials","9","false","true","","false","sp588","TreeCo_database_v.4.1"
"Cariniana estrellensis","Construction or structural materials","9","false","true","","false","sp589","TreeCo_database_v.4.1"
"Cariniana estrellensis","Construction or structural materials","9","true","false","","false","sp589","TreeCo_database_v.4.1"
"Cariniana legalis","Construction or structural materials","9","false","true","","false","sp591","TreeCo_database_v.4.1"
"Cariniana legalis","Construction or structural materials","9","true","false","","false","sp591","TreeCo_database_v.4.1"
"Cariniana legalis","Construction or structural materials","9","false","true","","false","sp591","TreeCo_database_v.4.1"
"Caryocar brasiliense","Food - human","1","false","true","","true","sp594","TreeCo_database_v.4.1"
"Casearia gossypiosperma","Construction or structural materials","9","true","false","","false","sp605","TreeCo_database_v.4.1"
"Casearia sylvestris","Medicine - human & veterinary","3","false","true","","true","sp625","TreeCo_database_v.4.1"
"Cassia fastuosa","Construction or structural materials","9","false","true","","false","sp627","TreeCo_database_v.4.1"
"Cassia ferruginea","Pets/display animals, horticulture","13","","true","","","sp628","IUCN_Red_List_v.2022-2"
"Cassia grandis","Construction or structural materials","9","true","false","","false","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Manufacturing chemicals","5","true","false","","false","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Food - human","1","true","false","","true","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Construction or structural materials","9","true","false","","false","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Fuels","7","true","false","","false","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Medicine - human & veterinary","3","true","false","","true","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Food - animal","2","true","false","","true","sp629","TreeCo_database_v.4.1"
"Cassia grandis","Pets/display animals, horticulture","13","true","false","","false","sp629","TreeCo_database_v.4.1"
"Cecropia glaziovii","Medicine - human & veterinary","3","false","true","","true","sp638","TreeCo_database_v.4.1"
"Cecropia glaziovii","Fuels","7","","","","","sp638","IUCN_Red_List_v.2022-2"
"Cecropia glaziovii","Other household goods","11","","","","","sp638","IUCN_Red_List_v.2022-2"
"Cecropia pachystachya","Medicine - human & veterinary","3","","","","true","sp640","IUCN_Red_List_v.2022-2"
"Cecropia pachystachya","Other household goods","11","","","","true","sp640","IUCN_Red_List_v.2022-2"
"Cecropia pachystachya","Other chemicals","6","","","","true","sp640","IUCN_Red_List_v.2022-2"
"Cecropia pachystachya","Fibre","8","","","","true","sp640","IUCN_Red_List_v.2022-2"
"Cedrela angustifolia","Construction or structural materials","9","true","true","","true","sp643","TreeCo_database_v.4.1"
"Cedrela angustifolia","Pets/display animals, horticulture","13","","true","","","sp643","IUCN_Red_List_v.2022-2"
"Cedrela angustifolia","Other chemicals","6","","","","true","sp643","IUCN_Red_List_v.2022-2"
"Cedrela fissilis","Construction or structural materials","9","true","true","","true","sp644","TreeCo_database_v.4.1"
"Cedrela fissilis","Construction or structural materials","9","true","true","","true","sp644","TreeCo_database_v.4.1"
"Cedrela fissilis","Construction or structural materials","9","true","true","","true","sp644","TreeCo_database_v.4.1"
"Cedrela fissilis","Handicrafts, jewellery, etc.","12","true","true","","true","sp644","IUCN_Red_List_v.2022-2"
"Cedrela fissilis","Other household goods","11","true","true","","true","sp644","IUCN_Red_List_v.2022-2"
"Cedrela odorata","Pets/display animals, horticulture","13","true","true","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Medicine - human & veterinary","3","true","false","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Construction or structural materials","9","true","true","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Fuels","7","true","false","","false","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Construction or structural materials","9","true","true","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Construction or structural materials","9","true","true","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Construction or structural materials","9","true","true","","true","sp645","TreeCo_database_v.4.1"
"Cedrela odorata","Fibre","8","true","false","","false","sp645","TreeCo_database_v.4.1"
"Ceiba crispiflora","Construction or structural materials","9","false","false","","false","sp646","IUCN_Red_List_v.2022-2"
"Ceiba glaziovii","Medicine - human & veterinary","3","false","false","","false","sp648","IUCN_Red_List_v.2022-2"
"Ceiba glaziovii","Fibre","8","false","false","","false","sp648","IUCN_Red_List_v.2022-2"
"Ceiba glaziovii","Other household goods","11","false","false","","false","sp648","IUCN_Red_List_v.2022-2"
"Ceiba pentandra","Pets/display animals, horticulture","13","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Food - human","1","true","false","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Food - animal","2","true","false","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Construction or structural materials","9","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Construction or structural materials","9","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Construction or structural materials","9","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Fibre","8","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Construction or structural materials","9","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Medicine - human & veterinary","3","true","false","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Construction or structural materials","9","true","true","","true","sp650","TreeCo_database_v.4.1"
"Ceiba pentandra","Other household goods","11","true","true","","true","sp650","IUCN_Red_List_v.2022-2"
"Ceiba pubiflora","Pets/display animals, horticulture","13","","","","true","sp651","IUCN_Red_List_v.2022-2"
"Ceiba pubiflora","Fibre","8","","","","true","sp651","IUCN_Red_List_v.2022-2"
"Ceiba pubiflora","Construction or structural materials","9","","","","true","sp651","IUCN_Red_List_v.2022-2"
"Ceiba speciosa","Pets/display animals, horticulture","13","true","true","","false","sp653","TreeCo_database_v.4.1"
"Ceiba speciosa","Fibre","8","false","true","","true","sp653","TreeCo_database_v.4.1"
"Ceiba speciosa","Construction or structural materials","9","true","false","","false","sp653","TreeCo_database_v.4.1"
"Ceiba speciosa","Other chemicals","6","false","false","","false","sp653","TreeCo_database_v.4.1"
"Ceiba speciosa","Medicine - human & veterinary","3","false","false","","true","sp653","TreeCo_database_v.4.1"
"Ceiba speciosa","Other household goods","11","","true","","true","sp653","IUCN_Red_List_v.2022-2"
"Ceiba speciosa","Handicrafts, jewellery, etc.","12","","true","","true","sp653","IUCN_Red_List_v.2022-2"
"Cenostigma bracteosum","Food - animal","2","false","true","","true","sp659","TreeCo_database_v.4.1"
