"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName","source.info"
"","","","sp21","Acalypha tristis Poepp.","Poepp.","Acalypha tristis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp22","Acalypha multicaulis var. genuina Müll.Arg.","","Acalypha multicaulis","Brazilian_Flora_Online_v.393.285"
"var.","Pax & K.Hoffm.","glabrescens","sp22","Acalypha multicaulis var. glabrescens Pax & K.Hoffm.","","Acalypha multicaulis","Brazilian_Flora_Online_v.393.285"
"var.","Pax & K.Hoffm.","tenuispica","sp22","Acalypha multicaulis var. tenuispica Pax & K.Hoffm.","","Acalypha multicaulis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","tomentella","sp22","Acalypha multicaulis var. tomentella Müll.Arg.","","Acalypha multicaulis","Brazilian_Flora_Online_v.393.285"
"","","","sp22","Acalypha tenuicaulis Baill.","Baill.","Acalypha tenuicaulis","Brazilian_Flora_Online_v.393.285"
"","","","sp23","Acalypha subvillosa Müll.Arg.","Müll.Arg.","Acalypha subvillosa","Brazilian_Flora_Online_v.393.285"
"","","","sp23","Acalypha karsteniana Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha karsteniana","Brazilian_Flora_Online_v.393.285"
"","","","sp23","Acalypha linostachys Baill.","Baill.","Acalypha linostachys","Brazilian_Flora_Online_v.393.285"
"","","","sp23","Acalypha muricata Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha muricata","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp23","Acalypha villosa var. genuina Müll.Arg.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","intermedia","sp23","Acalypha villosa var. intermedia Müll.Arg.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"var.","Pax & K.Hoffm.","latiuscula","sp23","Acalypha villosa var. latiuscula Pax & K.Hoffm.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"var.","(Müll.Arg.) Pax & K.Hoffm.","paniculata","sp23","Acalypha villosa var. paniculata (Müll.Arg.) Pax & K.Hoffm.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","tomentosa","sp23","Acalypha villosa var. tomentosa Müll.Arg.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","trichopoda","sp23","Acalypha villosa var. trichopoda Müll.Arg.","","Acalypha villosa","Brazilian_Flora_Online_v.393.285"
"","","","sp24","Polygala klotzschii Chodat","Chodat","Polygala klotzschii","Brazilian_Flora_Online_v.393.285"
"","","","sp25","Acanthocladus albicans A.W.Benn.","A.W.Benn.","Acanthocladus albicans","Brazilian_Flora_Online_v.393.285"
"","","","sp25","Polygala dichroma Steud.","Steud.","Polygala dichroma","Brazilian_Flora_Online_v.393.285"
"","","","sp26","Polygala pulcherrima Kuhlm.","Kuhlm.","Polygala pulcherrima","Brazilian_Flora_Online_v.393.285"
"","","","sp27","Polygala santosii Wurdack","Wurdack","Polygala santosii","Brazilian_Flora_Online_v.393.285"
"","","","sp29","Osyris spinescens Mart. & Eichler","Mart. & Eichler","Osyris spinescens","Brazilian_Flora_Online_v.393.285"
"","","","sp30","Psidium stictophyllum (Kiaersk.) Mattos","(Kiaersk.) Mattos","Psidium stictophyllum","Brazilian_Flora_Online_v.393.285"
"","","","sp30","Guajava elegans (DC.) Kuntze","(DC.) Kuntze","Guajava elegans","Brazilian_Flora_Online_v.393.285"
"","","","sp30","Myrtus elegans DC.","DC.","Myrtus elegans","Brazilian_Flora_Online_v.393.285"
"","","","sp30","Myrtus stictophylla Kiaersk.","Kiaersk.","Myrtus stictophylla","Brazilian_Flora_Online_v.393.285"
"","","","sp30","Psidium elegans (DC.) O.Berg","(DC.) O.Berg","Psidium elegans","Brazilian_Flora_Online_v.393.285"
"var.","O.Berg","angustifolium","sp30","Psidium elegans var. angustifolium O.Berg","","Psidium elegans","Brazilian_Flora_Online_v.393.285"
"var.","O.Berg","latifolium","sp30","Psidium elegans var. latifolium O.Berg","","Psidium elegans","Brazilian_Flora_Online_v.393.285"
"","","","sp31","Achatocarpus bicornutus Schinz & Autran","Schinz & Autran","Achatocarpus bicornutus","Brazilian_Flora_Online_v.393.285"
"","","","sp32","Sweetia diffusissima Mohlenbr.","Mohlenbr.","Sweetia diffusissima","Brazilian_Flora_Online_v.393.285"
"","","","sp33","Acosmium fallax (Taub.) Yakovlev","(Taub.) Yakovlev","Acosmium fallax","Brazilian_Flora_Online_v.393.285"
"","","","sp33","Sweetia lentiscifolia (Schott) Benth.","(Schott) Benth.","Sweetia lentiscifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp33","Sweetia fallax Taub.","Taub.","Sweetia fallax","Brazilian_Flora_Online_v.393.285"
"","","","sp34","Decachaeta conferta Gardner","Gardner","Decachaeta conferta","Brazilian_Flora_Online_v.393.285"
"","","","sp35","Ageratum connatifolium Soar.Nunes","Soar.Nunes","Ageratum connatifolium","Brazilian_Flora_Online_v.393.285"
"","","","sp36","Acritopappus hagei R.M.King & H.Rob.","R.M.King & H.Rob.","Acritopappus hagei","Brazilian_Flora_Online_v.393.285"
"","","","sp36","Ageratum heterolepis Baker","Baker","Ageratum heterolepis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia antiguana L.H.Bailey","L.H.Bailey","Acrocomia antiguana","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia antioquiensis Posada-Ar.","Posada-Ar.","Acrocomia antioquiensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia belizensis L.H.Bailey","L.H.Bailey","Acrocomia belizensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia christopherensis L.H.Bailey","L.H.Bailey","Acrocomia christopherensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia chunta Covas & Ragonese","Covas & Ragonese","Acrocomia chunta","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia cubensis Lodd. ex H.Wendl.","Lodd. ex H.Wendl.","Acrocomia cubensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia erioacantha Barb.Rodr.","Barb.Rodr.","Acrocomia erioacantha","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia fusiformis (Sw.) Sweet","(Sw.) Sweet","Acrocomia fusiformis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia glaucophylla Drude","Drude","Acrocomia glaucophylla","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia globosa (Gaertn.) Lodd. ex Mart.","(Gaertn.) Lodd. ex Mart.","Acrocomia globosa","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia grenadana L.H.Bailey","L.H.Bailey","Acrocomia grenadana","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia guianensis Lodd. ex G.Don","Lodd. ex G.Don","Acrocomia guianensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia horrida Lodd. ex Mart.","Lodd. ex Mart.","Acrocomia horrida","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia hospes L.H.Bailey","L.H.Bailey","Acrocomia hospes","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia ierensis L.H.Bailey","L.H.Bailey","Acrocomia ierensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia karukerana L.H.Bailey","L.H.Bailey","Acrocomia karukerana","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia lasiospatha Mart.","Mart.","Acrocomia lasiospatha","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia mexicana Karw. ex Mart.","Karw. ex Mart.","Acrocomia mexicana","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia microcarpa Barb.Rodr.","Barb.Rodr.","Acrocomia microcarpa","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia minor Lodd. ex G.Don","Lodd. ex G.Don","Acrocomia minor","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia mokayayba Barb.Rodr.","Barb.Rodr.","Acrocomia mokayayba","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia odorata Barb.Rodr.","Barb.Rodr.","Acrocomia odorata","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia panamensis L.H.Bailey","L.H.Bailey","Acrocomia panamensis","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia pilosa León","León","Acrocomia pilosa","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia quisqueyana L.H.Bailey","L.H.Bailey","Acrocomia quisqueyana","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia sclerocarpa Mart.","Mart.","Acrocomia sclerocarpa","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia sphaerocarpa Desf.","Desf.","Acrocomia sphaerocarpa","Brazilian_Flora_Online_v.393.285"
"","","","sp38","Acrocomia spinosa (Mill.) H.E.Moore","(Mill.) H.E.Moore","Acrocomia spinosa","Brazilian_Flora_Online_v.393.285"
