"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
NA,NA,NA,"sp38","Acrocomia quisqueyana L.H.Bailey","L.H.Bailey","Acrocomia quisqueyana"
NA,NA,NA,"sp38","Acrocomia sclerocarpa Mart.","Mart.","Acrocomia sclerocarpa"
NA,NA,NA,"sp38","Acrocomia sphaerocarpa Desf.","Desf.","Acrocomia sphaerocarpa"
NA,NA,NA,"sp38","Acrocomia spinosa (Mill.) H.E.Moore","(Mill.) H.E.Moore","Acrocomia spinosa"
NA,NA,NA,"sp38","Acrocomia subinermis León ex L.H.Bailey","León ex L.H.Bailey","Acrocomia subinermis"
NA,NA,NA,"sp38","Acrocomia tenuifrons Lodd. ex Mart.","Lodd. ex Mart.","Acrocomia tenuifrons"
NA,NA,NA,"sp38","Acrocomia ulei Dammer","Dammer","Acrocomia ulei"
NA,NA,NA,"sp38","Acrocomia viegasii L.H.Bailey","L.H.Bailey","Acrocomia viegasii"
NA,NA,NA,"sp38","Acrocomia vinifera Oerst.","Oerst.","Acrocomia vinifera"
NA,NA,NA,"sp38","Acrocomia wallaceana (Drude) Becc.","(Drude) Becc.","Acrocomia wallaceana"
NA,NA,NA,"sp38","Acrocomia zapotecis Karw. ex H.Wendl.","Karw. ex H.Wendl.","Acrocomia zapotecis"
NA,NA,NA,"sp38","Astrocaryum sclerocarpum H.Wendl.","H.Wendl.","Astrocaryum sclerocarpum"
NA,NA,NA,"sp38","Bactris globosa Gaertn.","Gaertn.","Bactris globosa"
NA,NA,NA,"sp38","Bactris minor Gaertn.","Gaertn.","Bactris minor"
NA,NA,NA,"sp38","Bactris pavoniana Mart.","Mart.","Bactris pavoniana"
NA,NA,NA,"sp38","Cocos aculeata Jacq.","Jacq.","Cocos aculeata"
NA,NA,NA,"sp38","Cocos fusiformis Sw.","Sw.","Cocos fusiformis"
"var.","Chodat & Hassl.","concepcionis","sp41","Dactylostemon klotzschii var. concepcionis Chodat & Hassl.",NA,"Dactylostemon klotzschii"
"var.","Müll.Arg.","heterophyllus","sp41","Dactylostemon klotzschii var. heterophyllus Müll.Arg.",NA,"Dactylostemon klotzschii"
NA,NA,NA,"sp42","Actinostemon macrocarpus Müll.Arg.","Müll.Arg.","Actinostemon macrocarpus"
NA,NA,NA,"sp42","Actinostemon multiflorus Müll.Arg.","Müll.Arg.","Actinostemon multiflorus"
NA,NA,NA,"sp42","Actinostemon oligandrus (Müll.Arg.) Baill.","(Müll.Arg.) Baill.","Actinostemon oligandrus"
NA,NA,NA,"sp42","Actinostemon sparsifolius (Müll.Arg.) Pax","(Müll.Arg.) Pax","Actinostemon sparsifolius"
NA,NA,NA,"sp42","Actinostemon acuminatus Baill.","Baill.","Actinostemon acuminatus"
NA,NA,NA,"sp42","Actinostemon angustifolius (Müll.Arg.) Pax","(Müll.Arg.) Pax","Actinostemon angustifolius"
NA,NA,NA,"sp42","Actinostemon cantagallensis Glaz.","Glaz.","Actinostemon cantagallensis"
"var.","(Baill.) Müll.Arg.","acuminatus","sp42","Actinostemon concolor var. acuminatus (Baill.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","acutissimus","sp42","Actinostemon concolor var. acutissimus (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Klotzsch ex Regel) Müll.Arg.","angustifolius","sp42","Actinostemon concolor var. angustifolius (Klotzsch ex Regel) Müll.Arg.",NA,"Actinostemon concolor"
"var.","Müll.Arg.","bicolor","sp42","Actinostemon concolor var. bicolor Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","ellipticus","sp42","Actinostemon concolor var. ellipticus (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","gardneri","sp42","Actinostemon concolor var. gardneri (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","Müll.Arg.","genuinus","sp42","Actinostemon concolor var. genuinus Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Baill.) Müll.Arg.","grandifolius","sp42","Actinostemon concolor var. grandifolius (Baill.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","intermedius","sp42","Actinostemon concolor var. intermedius (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","longifolius","sp42","Actinostemon concolor var. longifolius (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","microphyllus","sp42","Actinostemon concolor var. microphyllus (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","mucronatus","sp42","Actinostemon concolor var. mucronatus (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","obovatus","sp42","Actinostemon concolor var. obovatus (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","platyphyllos","sp42","Actinostemon concolor var. platyphyllos (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","Müll.Arg.","riedelii","sp42","Actinostemon concolor var. riedelii Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","sellowii","sp42","Actinostemon concolor var. sellowii (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
"var.","(Müll.Arg.) Müll.Arg.","variifolius","sp42","Actinostemon concolor var. variifolius (Müll.Arg.) Müll.Arg.",NA,"Actinostemon concolor"
NA,NA,NA,"sp42","Actinostemon grandifolius Baill.","Baill.","Actinostemon grandifolius"
NA,NA,NA,"sp42","Actinostemon marginatus Klotzsch ex Baill.","Klotzsch ex Baill.","Actinostemon marginatus"
"var.","Chodat","leptostachys","sp42","Actinostemon multiflorus var. leptostachys Chodat",NA,"Actinostemon multiflorus"
