order,locality1,UC
154,"13 km above Timbe towards Serra da Rocinha, Santa Catarina",US
155,14 km a SE de Sanare carretera al Parque Nacional Yacambu,PI
156,"14 km al SE de la Estacion Flor de Oro, lado norte de la serrania Hunchaca. Bosque tropical, sub-humedo, medio abierto de 25 m. Parque Nacional Noel Kempff Mercado",PI
157,"14 Km da Sede da FUNATURA, numa estrada conhecida como Belem-Brasilia (denominacao local). Folha Cartografica SD-23-Y-D Coordenada Coletada. Parque Nacional Grande Sertao Veredas",PI
158,"14 km from Florencia towards Belem, on property of ICA (Instituo Colombiano Agropecuario) station, at turnoff to ICA",US
159,14 km NE of Diamantina towards Mendanha on Estrada 367.,US
160,"14 km SE del Estacion Flor de Oro, cerca Rio Itenez, P.N. Noel Kempff Mercado",PI
161,"14 km Se del Estacion Flor de Oro, cerca Rio Itenez, P.N. Noel Kempff Mercado. Bosque tropical sub-humedo, orilla del Lago Cayman, inundada en la epoca de lluvia",PI
162,"14 km SE del Estacion Flor de Oro, cerca Rio Itenez, Parque Nacional Noel Kempff Mercado. Bosque tropical sub-humedo, copa medio abierto de 25 m",PI
163,"14 km SE del Estacion Flor de Oro, P.N. Noel Kempff Mercado. Bosque tropical sub-humedo, bosque medio abierto, con una copa de 25 m",PI
164,"14 km SE del Estacion Flor de Oro, P.N. Noel Kempff Mercado.Bosque tropical sub-humedo, bosque medio abierto, con una copa de 25m",PI
165,"14 km SE del Estancia Flor de Oro, cerca Rio Itenez, P.N. Noel Kempff Mercado. Cerrado",PI
166,"14 km SE del Estancia Flor de Oro, cerca Rio Itenez, P.N. Noiel Kempff Mercado",PI
167,"14 km SE del Estancia. Flor de Oro, cerca Rio Itenez, P.N. Noel Kempff Mercado",PI
168,"14 km. SE del Estacion Flor de Oro, cerca Rio Itenez, P.N. Noel Kempff Mercado. Bosque tropical sub-humedo, copa medio abierto de 25 m",PI
169,14Km ao NW de Porto Seguro. Estacao Ecologica do Pau-brasil. CEPLAC,PI
170,"15 Km de Itamaraju, de la entrada al Parque Nacional de Monte Pascoal",PI
171,15 km do Portao Principal da RPPN Serra das Almas,US
172,"15 km Sw de Itarare, Rodovia para o Horto Florestal",US
173,"16,1 Km da sede da Funatura. Parcela 2 Folha Cartografica SD-23-Y-D Coordenada Coletada. Parque Nacional Grande Sertao Veredas",PI
174,"16,5Km ao W da cidade. Rod. BR-367. Area da Reserva Biologica do Pau-brasil",PI
175,16Km a W de Porto Seguro. Estacao Ecologica do Pau-brasil,PI
176,16Km a W Porto Segruo. Area em frente a Estacao Ecologica do Pau-brasil,PI
177,"16Km a W Porto Seguro, BR-367. Area da Estacao Ecologica do Pau-brasil",PI
178,16Km a W Porto Seguro. Area da Estacao Ecologica do Pau-brasil,PI
179,16Km a W Porto Seguro. Area da Estacao Ecologica do Pau-brasil (ESPAB). CEPLAC,PI
180,16Km a W Porto Seguro. Area da Estacao Ecologica do Pau-brasil. BR-367 (ESPAB). CEPLAC,PI
181,16Km a W Porto Seguro. Area da Estacao Ecologica do Pua-brasil,PI
182,16Km a W Porto Seguro. Estacao Ecologica do Pau-brasil,PI
183,16Km a W Porto Seguro. Estacao Ecologica do Pau-brasil. CEPLAC,PI
184,16Km ao W da cidade. Estacao Biologica do pau-brasil,PI
185,"16Km ao W de Porto Seguro, BR-367. Area Estacao Ecologica do Pau-brasil",PI
186,16Km ao W de Porto Seguro. Area da Estacao Ecologica do Pau-brasil. CEPLAC,PI
187,16Km ao W de Porto Seguro. Area de pousio da Estacao Ecologica do Pau-brasil,PI
188,16Km ao W de Porto Seguro. Arredores da Estacao Ecologica do Pau-brasil,PI
189,16Km ao W de Porto Seguro. Estacao Ecologica do Pau-brasil,PI
190,16Km ao W de Porto Seguro. Estacao Ecologica do Pau-brasil (ESPAB) e arredores,PI
191,16Km ao W de Porto Seguro. Estacao Ecologica do Pau-brasil e arredores,PI
192,16Km ao W de Porto Seguro. Rumo leste da Estacao Ecologica do Pau-brasil,PI
193,"16Km ao W Porto Seguro, BR-367. Area da Estacao Ecologica do Pau-brasil",PI
194,"16Km ao W Porto Seguro, BR-367. Area da Estacao Ecologica do Pau-brasil. CEPLAC",PI
195,"16Km ao W Porto Seguro, BR-367. Estacao Ecologica do Pau-brasil",PI
196,16Km ao W Porto Seguro. Area da Estacao Ecologica do Pau-brasil,PI
197,16Km ao W Porto Seguro. Area da Estacao Ecologica do Pau-brasil. CEPLAC,PI
198,16Km ao W Porto Seguro. Estacao Ecologica do Pau-brasil (ESPAB) e arredores,PI
199,16Km ao W Porto Seguro. Estacao Ecologica do Pau-brasil e arredores,PI
200,"16Km aom W Porto Seguro, BR-367. Area da Estacao Ecologica do Pau-brasil",PI
201,16m a W Porto Seguro. Area da Estacao Ecologica do Pau-brasil. BR-367,PI
202,17 km NW da Sede do Parque Estadual das Varzeas do Rio Ivinhema,PI
203,17 Km NW da Sede do Parque Estadual das Varzeas do Rio Ivinhema,PI
204,17Km a W cidade. Reserva Biologica do Pau-brasil,PI
205,"17Km ao W da cidade, Rod. p/ Eunapolis. Reserva Biologica do Pau-brasil",PI
206,"17Km ao W da cidade, Rod. p/ Eunapolis. Reserva Biologica do Pau-brasil. CEPLAC",PI
207,17Km ao W da cidade. Reserva Biologica do Pau-brasil (CEPLAC),PI
208,17Km ao W Porto Seguro. Reserva Biologica do Pau-brasil. CEPLAC,PI
209,"18 km entre sede da RPPN Serra do Tombador e Cavalcante, 7 km N no acesso para a reserva Corrego Branco",US
210,"18 km entre sede da RPPN Serra do Tombador e Cavalcante, 9 km N no acesso para a reserva Corrego Branco",US
211,"19,4 Km da Sede da FUNATURA, numa estrada conhecida como Folha Cartografica SD-23-Y-B Coordenada Coletada. Parque Nacional Grande Sertao Veredas",PI
212,1ªcidade-Parque nacional de Sete Cidades,PI
213,1Km a W de Una. Estacao Experimental Lemos Maia (ESMAI). CEPLAC,US
214,1km outside town of Ype Jhu going towards Asuncion,US
215,"1Km W cidade, Estacao Experimental Lemos Maia",US
216,"1o. Distrito, Fazenda Olaria (propriedade do Sr. Gibrail); trilha em direcao ao \Horto Flora Paraty\ (Propriedade do Sr. Veloso). APA Cairucu.",APA
217,2 km al sur de la Reserva Biologica Jatun-Sacha. Informante: T. Mamallacta,PI
218,"2 KM AL SW DEL CASERIO LA VAINILLA, EN EL MIRADOR DEL PARQUE ECOLOGICO, MPIO. JOSE AZUETA, GRO",PI
219,"2 km apos a entrada do Parque Estadual do Rio doce, em direcao a ponte Queimada e aos experimentos da Teresa Sposito (GEF)",PI
220,"2 km apos a entrada do Parque Estadual Rio Doce, em direcao a ponte queimada e aos experimentos da Teresa Sposito ( GEF). Parque Estadual do Rio Doce",PI
221,"2 km apos a entrada do Parque Estadual Rio Doce, em direcao a ponte queimada e aos experimentos da Teresa Sposito ( GEF). Parque Estadual Rio Doce",PI
222,2 Km da Estacao Ecologica de Aracuri,PI
223,2 Km da saida do parque. Ponto 10. Folha Cartografica SB-24-V-A Coordenada Coletada. Parque Nacional de Sete Cidades,PI
224,"2 km east of village of Sete Barras. 24°22-24' S, 47°54' W. Along new road towards Jequia. On open roadside",US
225,2 Km NW da Sede do Parque Estadual das Varzeas do Rio Ivinhema,PI
226,"2 km NW del puente del Rio San Isidro. Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
227,"2.5 km eastwards along Brecha 5, leaving the Santa Cruz-Abapo highway at """"""""km 38"""""""". Brushy remnants of chaco forest near edge of cleared fields for Mennonite colony",US
228,"2° Distrito, Tamoios, Parque Ecologico Municipal do Mico Leao Dourado.",PI
229,"20 km E of Villamontes along gravel road towards Paraguay. Arid chaco woodland on nearly flat area. Soil clayey, dry disturbed chaco woodland wit Capparis tweediana, C. salicifolia, C. speciosa, Pereskia sacharosa, Cercidium praecox, Vallesia glabra",US
230,"200 yards from the Gulf of Mexico, at river edge along the Rio Maquina flood plain",US
231,"200m apos o trevo, em direcao a Caraivas. Area de Protecao Ambiental. Solo arenoso",APA
232,2011Reserva biologica da Jaiba,PI
233,"21°29'00""""""""S e 47°25'00""""""""W, Parque Estadual",PI
234,"22 km N of Itamarati on BR 101, then 6,8 km E on road to Embratel Tower. Reserva Municipal Cachoeira do Pau",US
235,"22 km N of Itamarati on BR 101, then 6,8 km E on road to Embratel Tower. Reserva Municipal Cachoeira do Pau.",US
236,"22 Km N of Itamarati on BR 101, then 6,8 Km E on road to Embratel Tower. Reserva Municipal Cachoeira do Pau. Southern Bahian wet forest.",US
