"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"BZ",NA,NA,"Native","Extant","Resident","sp19"
"BO",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"NI",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"PA",NA,NA,"Native","Extant","Resident","sp19"
"NI",NA,NA,"Native","Extant","Resident","sp19"
"HN",NA,NA,"Native","Extant","Resident","sp19"
"BZ",NA,NA,"Native","Extant","Resident","sp19"
"HN",NA,NA,"Native","Extant","Resident","sp19"
"PA",NA,NA,"Native","Extant","Resident","sp19"
"PA",NA,NA,"Native","Extant","Resident","sp19"
"PA",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"HN",NA,NA,"Native","Extant","Resident","sp19"
"VE",NA,NA,"Native","Extant","Resident","sp19"
"NI",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"VE",NA,NA,"Native","Extant","Resident","sp19"
"SR",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"BR",NA,NA,"Native","Extant","Resident","sp19"
"GT",NA,NA,"Native","Extant","Resident","sp19"
"NI",NA,NA,"Native","Extant","Resident","sp19"
"HN",NA,NA,"Native","Extant","Resident","sp19"
"CR",NA,NA,"Native","Extant","Resident","sp19"
"BZN-RM",NA,NA,"Native","Extant","Resident","sp19"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp20"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp20"
"BZS-RS",NA,NA,"Native","Extant","Resident","sp20"
"AGE-MI",NA,NA,"Native","Extant","Resident","sp20"
"BZC-MS",NA,NA,"Native","Extant","Resident","sp20"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp20"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp20"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp20"
